#####################################################################
# Alchemist log file - simulation started at: 2020-02-29T10:59+0000 #
#####################################################################
# seed = 97.0, reactivity = 2, speed = 0
#
# The columns have the following meaning: 
# time classicrc[Mean] classicrc[StandardDeviation] reactiverc[Mean] reactiverc[StandardDeviation] errorclassic[Mean] errorclassic[StandardDeviation] errorreactive[Mean] errorreactive[StandardDeviation] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN 
1.0000036848861478 1.0 0.0 1.0 0.0 NaN NaN NaN NaN 
2.0000036848861487 2.0 0.0 1.9500312304809488 0.4213093418428438 NaN NaN NaN NaN 
3.000003684886145 3.0 0.0 2.369144284821984 0.909957323061841 NaN NaN NaN NaN 
4.000003684886142 4.0 0.0 3.2929419113054346 1.4295126450117768 NaN NaN NaN NaN 
5.0000036848861384 5.0 0.0 4.497189256714552 1.7183271937510902 NaN NaN NaN NaN 
6.000003684886135 6.0 0.0 5.780137414116175 1.6636947529837176 NaN NaN NaN NaN 
7.000003684886131 7.0 0.0 6.864459712679574 1.5535418721528425 NaN NaN 0.2898701946567028 0.22427771015274767 
8.000003684886128 8.0 0.0 7.731417863835102 1.749376617800074 NaN NaN 0.24448387708960448 0.1522100658278806 
9.000003684886142 9.0 0.0 8.419737663960026 2.1624546656836126 NaN NaN 0.2270928991140474 0.12814983849880288 
10.000003684886156 10.0 0.0 8.944409743910054 2.634631433807192 NaN NaN 0.22022315467943254 0.12118967403947281 
11.00000368488617 11.0 0.0 9.258588382261092 3.0050940511221955 0.3663041075937785 0.3597609342979518 0.21859799504420754 0.11918249217543113 
12.000003684886185 12.0 0.0 9.416614615865083 3.176389268022928 0.3082906723161084 0.2597410506796601 0.21960505500420305 0.11725359367084777 
13.000003684886199 13.0 0.0 9.581511555277949 3.1302568526836025 0.27304760361332153 0.20003761775604983 0.21969512765956656 0.11650181154217033 
14.000003684886213 14.0 0.0 9.861961274203622 2.9225944639993022 0.2509475913814822 0.1628072842264354 0.22046860477981534 0.11613829538999877 
15.000003684886227 15.0 0.0 10.302935665209242 2.5964008986447764 0.23767214365072317 0.1426436430740108 0.21956501735545444 0.11715944920463511 
16.00000368488624 16.0 0.0 10.860712054965651 2.3048778151261846 0.22978328668125664 0.13163319949773386 0.2197903914854829 0.11754978971108104 
17.000003684886256 17.0 0.0 11.407245471580259 2.186960783903318 0.22433262235222343 0.12490888817926239 0.21871471503560794 0.1178597498545084 
18.00000368488627 18.0 0.0 11.833229231730165 2.279593193542423 0.22098722230032972 0.12135390539153977 0.2185228926069115 0.11790878912482397 
19.000003684886284 19.0 0.0 12.244222361024363 2.533217945721352 0.21909487134158226 0.11938098458310194 0.21835875919164385 0.11807005223158894 
20.0000036848863 20.0 0.0 12.677076826983134 2.903666724973609 0.2181624344920177 0.11850821278688803 0.21827047400304664 0.11812111423523695 
